




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
nuclear export (GO:0051168)	105	1	.07	+	13.96	6.99E-02	1.00E00
positive regulation of histone modification (GO:0031058)	106	1	.07	+	13.83	7.05E-02	1.00E00
chromatin organization involved in regulation of transcription (GO:0034401)	106	1	.07	+	13.83	7.05E-02	1.00E00
chromatin assembly (GO:0031497)	108	1	.07	+	13.57	7.18E-02	1.00E00
negative regulation of angiogenesis (GO:0016525)	109	1	.07	+	13.45	7.24E-02	1.00E00
negative regulation of blood vessel morphogenesis (GO:2000181)	111	1	.08	+	13.21	7.37E-02	1.00E00
regulation of postsynapse organization (GO:0099175)	111	1	.08	+	13.21	7.37E-02	1.00E00
negative regulation of vasculature development (GO:1901343)	112	1	.08	+	13.09	7.43E-02	1.00E00
microtubule bundle formation (GO:0001578)	114	1	.08	+	12.86	7.56E-02	1.00E00
positive regulation of neuron differentiation (GO:0045666)	115	1	.08	+	12.75	7.63E-02	1.00E00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	117	1	.08	+	12.53	7.75E-02	1.00E00
multicellular organism growth (GO:0035264)	119	1	.08	+	12.32	7.88E-02	1.00E00
amino acid transport (GO:0006865)	120	1	.08	+	12.22	7.94E-02	1.00E00
positive regulation of chromatin organization (GO:1905269)	120	1	.08	+	12.22	7.94E-02	1.00E00
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	120	1	.08	+	12.22	7.94E-02	1.00E00
regulation of neurotransmitter secretion (GO:0046928)	123	1	.08	+	11.92	8.13E-02	1.00E00
macroautophagy (GO:0016236)	123	1	.08	+	11.92	8.13E-02	1.00E00
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	124	1	.08	+	11.82	8.19E-02	1.00E00
fat cell differentiation (GO:0045444)	124	1	.08	+	11.82	8.19E-02	1.00E00
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	124	1	.08	+	11.82	8.19E-02	1.00E00
nucleus organization (GO:0006997)	125	1	.09	+	11.73	8.26E-02	1.00E00
chromatin assembly or disassembly (GO:0006333)	125	1	.09	+	11.73	8.26E-02	1.00E00
endocrine system development (GO:0035270)	126	1	.09	+	11.63	8.32E-02	1.00E00
sphingolipid metabolic process (GO:0006665)	133	1	.09	+	11.02	8.76E-02	1.00E00
male gonad development (GO:0008584)	133	1	.09	+	11.02	8.76E-02	1.00E00
regulation of ossification (GO:0030278)	133	1	.09	+	11.02	8.76E-02	1.00E00
development of primary male sexual characteristics (GO:0046546)	134	1	.09	+	10.94	8.82E-02	1.00E00
cellular response to insulin stimulus (GO:0032869)	135	1	.09	+	10.86	8.88E-02	1.00E00
regulation of neurotransmitter transport (GO:0051588)	140	1	.10	+	10.47	9.20E-02	1.00E00
chromatin remodeling (GO:0006338)	143	1	.10	+	10.25	9.38E-02	1.00E00
establishment of vesicle localization (GO:0051650)	144	1	.10	+	10.18	9.44E-02	1.00E00
positive regulation of cellular protein catabolic process (GO:1903364)	144	1	.10	+	10.18	9.44E-02	1.00E00
vacuolar transport (GO:0007034)	147	1	.10	+	9.97	9.63E-02	1.00E00
vacuole organization (GO:0007033)	148	1	.10	+	9.90	9.69E-02	1.00E00
regulation of gene expression, epigenetic (GO:0040029)	148	1	.10	+	9.90	9.69E-02	1.00E00
negative regulation of cell adhesion (GO:0007162)	297	2	.20	+	9.87	1.72E-02	1.00E00
regulation of protein secretion (GO:0050708)	299	2	.20	+	9.81	1.74E-02	1.00E00
DNA packaging (GO:0006323)	152	1	.10	+	9.64	9.94E-02	1.00E00
vesicle localization (GO:0051648)	156	1	.11	+	9.40	1.02E-01	1.00E00
transport along microtubule (GO:0010970)	157	1	.11	+	9.34	1.02E-01	1.00E00
visual perception (GO:0007601)	159	1	.11	+	9.22	1.04E-01	1.00E00
male sex differentiation (GO:0046661)	160	1	.11	+	9.16	1.04E-01	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	163	1	.11	+	8.99	1.06E-01	1.00E00
sensory perception of light stimulus (GO:0050953)	163	1	.11	+	8.99	1.06E-01	1.00E00
regulation of histone modification (GO:0031056)	165	1	.11	+	8.88	1.07E-01	1.00E00
membrane lipid metabolic process (GO:0006643)	175	1	.12	+	8.38	1.14E-01	1.00E00
response to insulin (GO:0032868)	177	1	.12	+	8.28	1.15E-01	1.00E00
cell-substrate adhesion (GO:0031589)	177	1	.12	+	8.28	1.15E-01	1.00E00
regulation of regulated secretory pathway (GO:1903305)	179	1	.12	+	8.19	1.16E-01	1.00E00
positive regulation of chromosome organization (GO:2001252)	184	1	.13	+	7.97	1.19E-01	1.00E00
cellular response to peptide hormone stimulus (GO:0071375)	185	1	.13	+	7.92	1.20E-01	1.00E00
positive regulation of cell growth (GO:0030307)	185	1	.13	+	7.92	1.20E-01	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	187	1	.13	+	7.84	1.21E-01	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	188	1	.13	+	7.80	1.21E-01	1.00E00
secretion by cell (GO:0032940)	378	2	.26	+	7.76	2.69E-02	1.00E00
regulation of insulin secretion (GO:0050796)	191	1	.13	+	7.67	1.23E-01	1.00E00
fertilization (GO:0009566)	192	1	.13	+	7.63	1.24E-01	1.00E00
microtubule-based transport (GO:0099111)	193	1	.13	+	7.60	1.24E-01	1.00E00
DNA conformation change (GO:0071103)	195	1	.13	+	7.52	1.26E-01	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	195	1	.13	+	7.52	1.26E-01	1.00E00
glucose homeostasis (GO:0042593)	200	1	.14	+	7.33	1.29E-01	1.00E00
carbohydrate homeostasis (GO:0033500)	201	1	.14	+	7.29	1.29E-01	1.00E00
protein localization to plasma membrane (GO:0072659)	204	1	.14	+	7.19	1.31E-01	1.00E00
negative regulation of protein kinase activity (GO:0006469)	208	1	.14	+	7.05	1.33E-01	1.00E00
protein-containing complex localization (GO:0031503)	209	1	.14	+	7.01	1.34E-01	1.00E00
regulation of chromatin organization (GO:1902275)	210	1	.14	+	6.98	1.35E-01	1.00E00
export from cell (GO:0140352)	423	2	.29	+	6.93	3.31E-02	1.00E00
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	215	1	.15	+	6.82	1.38E-01	1.00E00
positive regulation of developmental growth (GO:0048639)	216	1	.15	+	6.79	1.38E-01	1.00E00
carboxylic acid transport (GO:0046942)	218	1	.15	+	6.72	1.39E-01	1.00E00
protein polyubiquitination (GO:0000209)	219	1	.15	+	6.69	1.40E-01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	221	1	.15	+	6.63	1.41E-01	1.00E00
developmental growth (GO:0048589)	442	2	.30	+	6.63	3.59E-02	1.00E00
gonad development (GO:0008406)	222	1	.15	+	6.60	1.42E-01	1.00E00
regulation of secretion by cell (GO:1903530)	666	3	.45	+	6.60	9.69E-03	1.00E00
protein targeting (GO:0006605)	223	1	.15	+	6.57	1.42E-01	1.00E00
cellular response to organonitrogen compound (GO:0071417)	446	2	.30	+	6.57	3.65E-02	1.00E00
growth (GO:0040007)	448	2	.31	+	6.54	3.68E-02	1.00E00
exocytosis (GO:0006887)	226	1	.15	+	6.49	1.44E-01	1.00E00
development of primary sexual characteristics (GO:0045137)	226	1	.15	+	6.49	1.44E-01	1.00E00
regulation of neuron differentiation (GO:0045664)	228	1	.16	+	6.43	1.45E-01	1.00E00
macromolecule methylation (GO:0043414)	228	1	.16	+	6.43	1.45E-01	1.00E00
ossification (GO:0001503)	230	1	.16	+	6.37	1.46E-01	1.00E00
negative regulation of kinase activity (GO:0033673)	231	1	.16	+	6.35	1.47E-01	1.00E00
epithelial cell development (GO:0002064)	232	1	.16	+	6.32	1.48E-01	1.00E00
cellular response to peptide (GO:1901653)	232	1	.16	+	6.32	1.48E-01	1.00E00
autophagy (GO:0006914)	234	1	.16	+	6.26	1.49E-01	1.00E00
process utilizing autophagic mechanism (GO:0061919)	234	1	.16	+	6.26	1.49E-01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	236	1	.16	+	6.21	1.50E-01	1.00E00
organic acid transport (GO:0015849)	240	1	.16	+	6.11	1.52E-01	1.00E00
regulation of peptide secretion (GO:0002791)	241	1	.16	+	6.08	1.53E-01	1.00E00
regulation of exocytosis (GO:0017157)	242	1	.17	+	6.06	1.53E-01	1.00E00
regulation of peptide transport (GO:0090087)	243	1	.17	+	6.03	1.54E-01	1.00E00
secretion (GO:0046903)	491	2	.33	+	5.97	4.34E-02	1.00E00
locomotory behavior (GO:0007626)	246	1	.17	+	5.96	1.56E-01	1.00E00
membrane invagination (GO:0010324)	246	1	.17	+	5.96	1.56E-01	1.00E00
regulation of cellular protein catabolic process (GO:1903362)	247	1	.17	+	5.93	1.56E-01	1.00E00
negative regulation of transport (GO:0051051)	495	2	.34	+	5.92	4.40E-02	1.00E00
regulation of secretion (GO:0051046)	745	3	.51	+	5.90	1.31E-02	1.00E00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	250	1	.17	+	5.86	1.58E-01	1.00E00
regulation of neurotransmitter levels (GO:0001505)	251	1	.17	+	5.84	1.59E-01	1.00E00
protein localization to cell periphery (GO:1990778)	253	1	.17	+	5.79	1.60E-01	1.00E00
cellular response to nitrogen compound (GO:1901699)	518	2	.35	+	5.66	4.78E-02	1.00E00
negative regulation of protein modification process (GO:0031400)	520	2	.35	+	5.64	4.81E-02	1.00E00
regulation of synapse organization (GO:0050807)	261	1	.18	+	5.62	1.65E-01	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	262	1	.18	+	5.59	1.65E-01	1.00E00
negative regulation of transferase activity (GO:0051348)	264	1	.18	+	5.55	1.66E-01	1.00E00
cellular nitrogen compound catabolic process (GO:0044270)	266	1	.18	+	5.51	1.67E-01	1.00E00
heterocycle catabolic process (GO:0046700)	267	1	.18	+	5.49	1.68E-01	1.00E00
regulation of protein transport (GO:0051223)	543	2	.37	+	5.40	5.20E-02	1.00E00
regulation of synapse structure or activity (GO:0050803)	273	1	.19	+	5.37	1.71E-01	1.00E00
sex differentiation (GO:0007548)	277	1	.19	+	5.29	1.74E-01	1.00E00
response to peptide hormone (GO:0043434)	279	1	.19	+	5.25	1.75E-01	1.00E00
methylation (GO:0032259)	280	1	.19	+	5.24	1.75E-01	1.00E00
organic anion transport (GO:0015711)	280	1	.19	+	5.24	1.75E-01	1.00E00
regulation of establishment of protein localization (GO:0070201)	573	2	.39	+	5.12	5.72E-02	1.00E00
aromatic compound catabolic process (GO:0019439)	287	1	.20	+	5.11	1.79E-01	1.00E00
regulation of chromosome organization (GO:0033044)	289	1	.20	+	5.07	1.81E-01	1.00E00
regulation of angiogenesis (GO:0045765)	292	1	.20	+	5.02	1.82E-01	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	292	1	.20	+	5.02	1.82E-01	1.00E00
intracellular transport (GO:0046907)	1178	4	.80	+	4.98	7.02E-03	1.00E00
cellular response to endogenous stimulus (GO:0071495)	888	3	.61	+	4.95	2.09E-02	1.00E00
regulation of vasculature development (GO:1901342)	296	1	.20	+	4.95	1.84E-01	1.00E00
homeostasis of number of cells (GO:0048872)	297	1	.20	+	4.94	1.85E-01	1.00E00
positive regulation of growth (GO:0045927)	298	1	.20	+	4.92	1.86E-01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	904	3	.62	+	4.86	2.19E-02	1.00E00
establishment of protein localization to organelle (GO:0072594)	303	1	.21	+	4.84	1.88E-01	1.00E00
regulation of hormone secretion (GO:0046883)	304	1	.21	+	4.82	1.89E-01	1.00E00
synapse organization (GO:0050808)	305	1	.21	+	4.81	1.90E-01	1.00E00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	308	1	.21	+	4.76	1.91E-01	1.00E00
negative regulation of catabolic process (GO:0009895)	312	1	.21	+	4.70	1.93E-01	1.00E00
organic cyclic compound catabolic process (GO:1901361)	315	1	.21	+	4.65	1.95E-01	1.00E00
regulation of anatomical structure morphogenesis (GO:0022603)	971	3	.66	+	4.53	2.64E-02	1.00E00
angiogenesis (GO:0001525)	326	1	.22	+	4.50	2.01E-01	1.00E00
regulation of cell morphogenesis (GO:0022604)	326	1	.22	+	4.50	2.01E-01	1.00E00
intracellular protein transport (GO:0006886)	655	2	.45	+	4.48	7.23E-02	1.00E00
proteasomal protein catabolic process (GO:0010498)	334	1	.23	+	4.39	2.06E-01	1.00E00
covalent chromatin modification (GO:0016569)	341	1	.23	+	4.30	2.09E-01	1.00E00
response to peptide (GO:1901652)	343	1	.23	+	4.27	2.11E-01	1.00E00
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	345	1	.24	+	4.25	2.12E-01	1.00E00
establishment of organelle localization (GO:0051656)	345	1	.24	+	4.25	2.12E-01	1.00E00
positive regulation of proteolysis (GO:0045862)	347	1	.24	+	4.22	2.13E-01	1.00E00
chemical synaptic transmission (GO:0007268)	348	1	.24	+	4.21	2.13E-01	1.00E00
anterograde trans-synaptic signaling (GO:0098916)	348	1	.24	+	4.21	2.13E-01	1.00E00
negative regulation of protein phosphorylation (GO:0001933)	349	1	.24	+	4.20	2.14E-01	1.00E00
germ cell development (GO:0007281)	350	1	.24	+	4.19	2.14E-01	1.00E00
regulation of lipid metabolic process (GO:0019216)	360	1	.25	+	4.07	2.20E-01	1.00E00
response to endogenous stimulus (GO:0009719)	1093	3	.75	+	4.02	3.58E-02	1.00E00
microtubule-based movement (GO:0007018)	365	1	.25	+	4.02	2.23E-01	1.00E00
trans-synaptic signaling (GO:0099537)	366	1	.25	+	4.01	2.23E-01	1.00E00
cellular response to hormone stimulus (GO:0032870)	368	1	.25	+	3.98	2.24E-01	1.00E00
regulation of cell adhesion (GO:0030155)	739	2	.50	+	3.97	8.91E-02	1.00E00
cell morphogenesis (GO:0000902)	749	2	.51	+	3.91	9.11E-02	1.00E00
response to organonitrogen compound (GO:0010243)	759	2	.52	+	3.86	9.32E-02	1.00E00
establishment of localization in cell (GO:0051649)	1535	4	1.05	+	3.82	1.74E-02	1.00E00
microtubule-based process (GO:0007017)	771	2	.53	+	3.80	9.57E-02	1.00E00
regulation of protein catabolic process (GO:0042176)	390	1	.27	+	3.76	2.36E-01	1.00E00
anion transport (GO:0006820)	394	1	.27	+	3.72	2.38E-01	1.00E00
regulation of developmental growth (GO:0048638)	394	1	.27	+	3.72	2.38E-01	1.00E00
negative regulation of phosphorylation (GO:0042326)	395	1	.27	+	3.71	2.39E-01	1.00E00
cellular response to growth factor stimulus (GO:0071363)	397	1	.27	+	3.69	2.40E-01	1.00E00
synaptic signaling (GO:0099536)	404	1	.28	+	3.63	2.43E-01	1.00E00
response to growth factor (GO:0070848)	411	1	.28	+	3.57	2.47E-01	1.00E00
negative regulation of transcription, DNA-templated (GO:0045892)	1244	3	.85	+	3.54	4.96E-02	1.00E00
negative regulation of nucleic acid-templated transcription (GO:1903507)	1248	3	.85	+	3.52	5.00E-02	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	1249	3	.85	+	3.52	5.01E-02	1.00E00
